Tarih,Aşama,Kanal,Özet,Önem Derecesi,Telegram’a Gönderildi mi?,Prompt Tokens,Completion Tokens,Toplam Tokens
2025-05-31 12:27,Final,ateobreaking,"**❗️****Правящая партия Турции может выдвинуть Эрдогана на третий срок, — издание Türkiye
**
Издание",Önemli,Evet,-,-,-
2025-05-31 12:34,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: (Osman Gazi Gemisi)

▪️300 metre uzunluğunda ve 56 metre genişliğindeki bu ",-,Hayır,123,1,124
2025-05-31 12:34,Geo Filter,conflict_tr,🔴 Marmaray'da çocukları yanında olan babanın burnunu kıran şahıs tutuklandı.,-,Hayır,60,1,61
2025-05-31 12:34,Geo Filter,ww3media,"🔴Almanya Savunma Bakanı Breuer, Rusya’nın 2029’a kadar NATO’ya saldırabileceğini belirterek orduya s",-,Hayır,79,1,80
2025-05-31 12:34,Translation,ww3media,"🔴Almanya Savunma Bakanı Breuer, Rusya’nın 2029’a kadar NATO’ya saldırabileceğini belirterek orduya s",Önemli,Evet,140,39,179
2025-05-31 12:34,Final,ww3media,"🔴Almanya Savunma Bakanı Breuer, Rusya’nın 2029’a kadar NATO’ya saldırabileceğini belirterek orduya s",Önemli,Evet,-,-,-
2025-05-31 12:34,Geo Filter,ateobreaking,Рубль вошёл в топ-3 наиболее укрепившихся к доллару валют в мае,-,Hayır,57,1,58
2025-05-31 12:46,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: (Osman Gazi Gemisi)

▪️300 metre uzunluğunda ve 56 metre genişliğindeki bu ",-,Hayır,123,1,124
2025-05-31 12:46,Geo Filter,conflict_tr,🔴 Marmaray'da çocukları yanında olan babanın burnunu kıran şahıs tutuklandı.,-,Hayır,60,1,61
2025-05-31 12:46,Geo Filter,ateobreaking,**Гадание по анусу стало бестселлером в соцсетях: китаец Чжуан Юньфэй разработал целое учение о прав,-,Hayır,115,1,116
2025-05-31 12:46,Geo Filter,ateobreaking,Рубль вошёл в топ-3 наиболее укрепившихся к доллару валют в мае,-,Hayır,57,1,58
2025-05-31 12:51,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: (Osman Gazi Gemisi)

▪️300 metre uzunluğunda ve 56 metre genişliğindeki bu ",-,Hayır,123,1,124
2025-05-31 12:51,Geo Filter,conflict_tr,🔴 Marmaray'da çocukları yanında olan babanın burnunu kıran şahıs tutuklandı.,-,Hayır,60,1,61
2025-05-31 12:51,Geo Filter,ateobreaking,**Гадание по анусу стало бестселлером в соцсетях: китаец Чжуан Юньфэй разработал целое учение о прав,-,Hayır,115,1,116
2025-05-31 12:51,Geo Filter,ateobreaking,Рубль вошёл в топ-3 наиболее укрепившихся к доллару валют в мае,-,Hayır,57,1,58
2025-05-31 12:56,Geo Filter,conflict_tr,"🔴 Marmaray'da çocuklarıyla yolculuk yapan babanın burnunu kıran şahıs:

▪️Heyecanla bir anda vurdum.",-,Hayır,94,1,95
2025-05-31 12:56,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: (Osman Gazi Gemisi)

▪️300 metre uzunluğunda ve 56 metre genişliğindeki bu ",-,Hayır,123,1,124
2025-05-31 12:56,Geo Filter,conflict_tr,🔴 Marmaray'da çocukları yanında olan babanın burnunu kıran şahıs tutuklandı.,-,Hayır,60,1,61
2025-05-31 12:56,Geo Filter,ateobreaking,**Гадание по анусу стало бестселлером в соцсетях: китаец Чжуан Юньфэй разработал целое учение о прав,-,Hayır,115,1,116
2025-05-31 12:56,Geo Filter,ateobreaking,Рубль вошёл в топ-3 наиболее укрепившихся к доллару валют в мае,-,Hayır,57,1,58
2025-05-31 13:01,Geo Filter,conflict_tr,"🔴 Kudüs Tugayları, Gazze'deki Şucaiyye'de bir binada İsrail askerlerine pusu kurdu.",-,Hayır,69,1,70
2025-05-31 13:01,Translation,conflict_tr,"🔴 Kudüs Tugayları, Gazze'deki Şucaiyye'de bir binada İsrail askerlerine pusu kurdu.",Önemli,Evet,130,30,160
2025-05-31 13:03,Final,conflict_tr,"🔴 Kudüs Tugayları, Gazze'deki Şucaiyye'de bir binada İsrail askerlerine pusu kurdu.",Önemli,Evet,-,-,-
2025-05-31 13:04,Geo Filter,conflict_tr,"🔴 Marmaray'da çocuklarıyla yolculuk yapan babanın burnunu kıran şahıs:

▪️Heyecanla bir anda vurdum.",-,Hayır,94,1,95
2025-05-31 13:04,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: (Osman Gazi Gemisi)

▪️300 metre uzunluğunda ve 56 metre genişliğindeki bu ",-,Hayır,123,1,124
2025-05-31 13:04,Geo Filter,conflict_tr,🔴 Marmaray'da çocukları yanında olan babanın burnunu kıran şahıs tutuklandı.,-,Hayır,60,1,61
2025-05-31 13:04,Geo Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Önümüzdeki dönemde önce Terörsüz Türkiye'ye, ardından da terörsüz bölgeye",-,Hayır,91,1,92
2025-05-31 13:04,Geo Filter,ateobreaking,**Гадание по анусу стало бестселлером в соцсетях: китаец Чжуан Юньфэй разработал целое учение о прав,-,Hayır,115,1,116
2025-05-31 13:04,Geo Filter,ateobreaking,Рубль вошёл в топ-3 наиболее укрепившихся к доллару валют в мае,-,Hayır,57,1,58
2025-05-31 13:09,Geo Filter,conflict_tr,🔴 Adana'da bir dede yağmurda ıslanmasın diye sırtına aldığı torunuyla İstiklal Marşı bitene kadar be,-,Hayır,75,1,76
2025-05-31 13:09,Geo Filter,conflict_tr,"🔴 Marmaray'da çocuklarıyla yolculuk yapan babanın burnunu kıran şahıs:

▪️Heyecanla bir anda vurdum.",-,Hayır,94,1,95
2025-05-31 13:09,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: (Osman Gazi Gemisi)

▪️300 metre uzunluğunda ve 56 metre genişliğindeki bu ",-,Hayır,123,1,124
2025-05-31 13:09,Geo Filter,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Önümüzdeki dönemde önce Terörsüz Türkiye'ye, ardından da terörsüz bölgeye",-,Hayır,91,1,92
2025-05-31 13:09,Translation,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Önümüzdeki dönemde önce Terörsüz Türkiye'ye, ardından da terörsüz bölgeye",Önemli,Evet,152,46,198
2025-05-31 13:09,Final,ww3media,"🚨Cumhurbaşkanı Erdoğan: 

""Önümüzdeki dönemde önce Terörsüz Türkiye'ye, ardından da terörsüz bölgeye",Önemli,Evet,-,-,-
2025-05-31 13:09,Geo Filter,ateobreaking,**Гадание по анусу стало бестселлером в соцсетях: китаец Чжуан Юньфэй разработал целое учение о прав,-,Hayır,115,1,116
2025-05-31 13:09,Geo Filter,ateobreaking,Рубль вошёл в топ-3 наиболее укрепившихся к доллару валют в мае,-,Hayır,57,1,58
2025-05-31 13:14,Geo Filter,conflict_tr,🔴 Adana'da bir dede yağmurda ıslanmasın diye sırtına aldığı torunuyla İstiklal Marşı bitene kadar be,-,Hayır,75,1,76
2025-05-31 13:14,Geo Filter,conflict_tr,"🔴 Marmaray'da çocuklarıyla yolculuk yapan babanın burnunu kıran şahıs:

▪️Heyecanla bir anda vurdum.",-,Hayır,94,1,95
2025-05-31 13:14,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: (Osman Gazi Gemisi)

▪️300 metre uzunluğunda ve 56 metre genişliğindeki bu ",-,Hayır,123,1,124
2025-05-31 13:14,Geo Filter,ateobreaking,"**ЕС: закон об иноагентах является отходом от демократии в Грузии**
Об этом говорится в совместном з",-,Hayır,211,1,212
2025-05-31 13:15,Translation,ateobreaking,"**ЕС: закон об иноагентах является отходом от демократии в Грузии**
Об этом говорится в совместном з",Önemli,Evet,272,59,331
2025-05-31 13:15,Final,ateobreaking,"**ЕС: закон об иноагентах является отходом от демократии в Грузии**
Об этом говорится в совместном з",Önemli,Evet,-,-,-
2025-05-31 13:15,Geo Filter,ateobreaking,**Гадание по анусу стало бестселлером в соцсетях: китаец Чжуан Юньфэй разработал целое учение о прав,-,Hayır,115,1,116
2025-05-31 13:15,Geo Filter,ateobreaking,Рубль вошёл в топ-3 наиболее укрепившихся к доллару валют в мае,-,Hayır,57,1,58
2025-05-31 13:20,Geo Filter,conflict_tr,🔴 Adana'da bir dede yağmurda ıslanmasın diye sırtına aldığı torunuyla İstiklal Marşı bitene kadar be,-,Hayır,75,1,76
2025-05-31 13:20,Geo Filter,conflict_tr,"🔴 Marmaray'da çocuklarıyla yolculuk yapan babanın burnunu kıran şahıs:

▪️Heyecanla bir anda vurdum.",-,Hayır,94,1,95
2025-05-31 13:20,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan: (Osman Gazi Gemisi)

▪️300 metre uzunluğunda ve 56 metre genişliğindeki bu ",-,Hayır,123,1,124
2025-05-31 13:20,Geo Filter,ateobreaking,**Гадание по анусу стало бестселлером в соцсетях: китаец Чжуан Юньфэй разработал целое учение о прав,-,Hayır,115,1,116
2025-05-31 13:20,Geo Filter,ateobreaking,Рубль вошёл в топ-3 наиболее укрепившихся к доллару валют в мае,-,Hayır,57,1,58
2025-05-31 13:25,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan:

▪️Ülke ve millet sevdalısı gençlerimizle gurur duyuyorum. 

▪️Genç mühendi",-,Hayır,86,1,87
2025-05-31 13:25,Geo Filter,conflict_tr,🔴 Adana'da bir dede yağmurda ıslanmasın diye sırtına aldığı torunuyla İstiklal Marşı bitene kadar be,-,Hayır,75,1,76
2025-05-31 13:25,Geo Filter,conflict_tr,"🔴 Marmaray'da çocuklarıyla yolculuk yapan babanın burnunu kıran şahıs:

▪️Heyecanla bir anda vurdum.",-,Hayır,94,1,95
2025-05-31 13:25,Geo Filter,ateobreaking,**Гадание по анусу стало бестселлером в соцсетях: китаец Чжуан Юньфэй разработал целое учение о прав,-,Hayır,115,1,116
2025-05-31 13:25,Geo Filter,ateobreaking,Рубль вошёл в топ-3 наиболее укрепившихся к доллару валют в мае,-,Hayır,57,1,58
2025-05-31 13:30,Geo Filter,conflict_tr,"🔴 Suriye Cumhurbaşkanı Ahmed Şara, Suudi Arabistan Dışişleri Bakanı ve beraberindeki ekonomi heyeti ",-,Hayır,74,1,75
2025-05-31 13:30,Translation,conflict_tr,"🔴 Suriye Cumhurbaşkanı Ahmed Şara, Suudi Arabistan Dışişleri Bakanı ve beraberindeki ekonomi heyeti ",Önemli,Evet,135,32,167
2025-05-31 13:30,Final,conflict_tr,"🔴 Suriye Cumhurbaşkanı Ahmed Şara, Suudi Arabistan Dışişleri Bakanı ve beraberindeki ekonomi heyeti ",Önemli,Evet,-,-,-
2025-05-31 13:31,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan:

▪️Ülke ve millet sevdalısı gençlerimizle gurur duyuyorum. 

▪️Genç mühendi",-,Hayır,86,1,87
2025-05-31 13:31,Geo Filter,ateobreaking,**Гадание по анусу стало бестселлером в соцсетях: китаец Чжуан Юньфэй разработал целое учение о прав,-,Hayır,115,1,116
2025-05-31 13:31,Geo Filter,ateobreaking,Рубль вошёл в топ-3 наиболее укрепившихся к доллару валют в мае,-,Hayır,57,1,58
2025-05-31 13:36,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan:

▪️Ülke ve millet sevdalısı gençlerimizle gurur duyuyorum. 

▪️Genç mühendi",-,Hayır,86,1,87
2025-05-31 13:36,Geo Filter,ateobreaking,"**Оппозиционный электорат обозначил фаворитов на выборах в Госдуму-2026**

По опросу Надеждина (10 т",-,Hayır,150,1,151
2025-05-31 13:36,Geo Filter,ateobreaking,**Гадание по анусу стало бестселлером в соцсетях: китаец Чжуан Юньфэй разработал целое учение о прав,-,Hayır,115,1,116
2025-05-31 13:36,Geo Filter,ateobreaking,Рубль вошёл в топ-3 наиболее укрепившихся к доллару валют в мае,-,Hayır,57,1,58
2025-05-31 13:41,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan:

▪️Ülke ve millet sevdalısı gençlerimizle gurur duyuyorum. 

▪️Genç mühendi",-,Hayır,86,1,87
2025-05-31 13:41,Geo Filter,ateobreaking,"**Оппозиционный электорат обозначил фаворитов на выборах в Госдуму-2026**

По опросу Надеждина (10 т",-,Hayır,150,1,151
2025-05-31 13:41,Geo Filter,ateobreaking,**Гадание по анусу стало бестселлером в соцсетях: китаец Чжуан Юньфэй разработал целое учение о прав,-,Hayır,115,1,116
2025-05-31 13:41,Geo Filter,ateobreaking,Рубль вошёл в топ-3 наиболее укрепившихся к доллару валют в мае,-,Hayır,57,1,58
2025-05-31 13:46,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan:

▪️Ülke ve millet sevdalısı gençlerimizle gurur duyuyorum. 

▪️Genç mühendi",-,Hayır,86,1,87
2025-05-31 13:46,Geo Filter,ateobreaking,"**Оппозиционный электорат обозначил фаворитов на выборах в Госдуму-2026**

По опросу Надеждина (10 т",-,Hayır,150,1,151
2025-05-31 13:46,Geo Filter,ateobreaking,**Гадание по анусу стало бестселлером в соцсетях: китаец Чжуан Юньфэй разработал целое учение о прав,-,Hayır,115,1,116
2025-05-31 13:46,Geo Filter,ateobreaking,Рубль вошёл в топ-3 наиболее укрепившихся к доллару валют в мае,-,Hayır,57,1,58
2025-05-31 13:51,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan:

▪️Ülke ve millet sevdalısı gençlerimizle gurur duyuyorum. 

▪️Genç mühendi",-,Hayır,86,1,87
2025-05-31 13:51,Geo Filter,ww3media,"🔴Cumhurbaşkanı Erdoğan:

Alparslan, Osman Gazi, Fatih, Abdülhamit Han deyince birileri rahatsız oluy",-,Hayır,98,1,99
2025-05-31 13:51,Geo Filter,ateobreaking,Тигран Кеосаян 160 дней в коме — Ateo Breaking,-,Hayır,55,1,56
2025-05-31 13:51,Geo Filter,ateobreaking,"**Оппозиционный электорат обозначил фаворитов на выборах в Госдуму-2026**

По опросу Надеждина (10 т",-,Hayır,150,1,151
2025-05-31 13:51,Geo Filter,ateobreaking,**Гадание по анусу стало бестселлером в соцсетях: китаец Чжуан Юньфэй разработал целое учение о прав,-,Hayır,115,1,116
2025-05-31 13:56,Geo Filter,conflict_tr,"🔴 Cumhurbaşkanı Erdoğan:

▪️Ülke ve millet sevdalısı gençlerimizle gurur duyuyorum. 

▪️Genç mühendi",-,Hayır,86,1,87
2025-05-31 13:56,Geo Filter,ww3media,"🚨Paris'te Yahudilere ait İki sinagog, bir koşer restoran ve bir Holokost anıtına saldırı düzenlendi.",-,Hayır,70,1,71
2025-05-31 13:56,Geo Filter,ateobreaking,Тигран Кеосаян 160 дней в коме — Ateo Breaking,-,Hayır,55,1,56
2025-05-31 13:56,Geo Filter,ateobreaking,"**Оппозиционный электорат обозначил фаворитов на выборах в Госдуму-2026**

По опросу Надеждина (10 т",-,Hayır,150,1,151
2025-05-31 13:56,Geo Filter,ateobreaking,**Гадание по анусу стало бестселлером в соцсетях: китаец Чжуан Юньфэй разработал целое учение о прав,-,Hayır,115,1,116
2025-05-31 14:01,Geo Filter,conflict_tr,"🚨 Kassam Tugayları, Beyt Lahya'da bir İsrail askerini pusuya düşürerek öldürdü.",-,Hayır,67,1,68
2025-05-31 14:01,Translation,conflict_tr,"🚨 Kassam Tugayları, Beyt Lahya'da bir İsrail askerini pusuya düşürerek öldürdü.",Önemli,Evet,128,29,157
2025-05-31 14:01,Final,conflict_tr,"🚨 Kassam Tugayları, Beyt Lahya'da bir İsrail askerini pusuya düşürerek öldürdü.",Önemli,Evet,-,-,-
2025-05-31 14:02,Geo Filter,conflict_tr,"🔴 İran %60 zenginleştirilmiş uranyum üretimini hızlandırdı. 

▪️42 kilogram %60 oranında zenginleşti",-,Hayır,100,1,101
2025-05-31 14:02,Translation,conflict_tr,"🔴 İran %60 zenginleştirilmiş uranyum üretimini hızlandırdı. 

▪️42 kilogram %60 oranında zenginleşti",Çok Önemli,Evet,161,44,205
2025-05-31 14:02,Final,conflict_tr,"🔴 İran %60 zenginleştirilmiş uranyum üretimini hızlandırdı. 

▪️42 kilogram %60 oranında zenginleşti",Çok Önemli,Evet,-,-,-
2025-05-31 14:02,Geo Filter,ww3media,"🚨Paris'te Yahudilere ait İki sinagog, bir koşer restoran ve bir Holokost anıtına saldırı düzenlendi.",-,Hayır,70,1,71
2025-05-31 14:02,Geo Filter,ateobreaking,"⚡**Германия не поставит Украине ракеты Taurus,** — The Guardian.

По данным издания, поставки немецк",-,Hayır,89,1,90
2025-05-31 14:02,Translation,ateobreaking,"⚡**Германия не поставит Украине ракеты Taurus,** — The Guardian.

По данным издания, поставки немецк",Önemli,Evet,150,39,189
2025-05-31 14:02,Final,ateobreaking,"⚡**Германия не поставит Украине ракеты Taurus,** — The Guardian.

По данным издания, поставки немецк",Önemli,Evet,-,-,-
2025-05-31 14:02,Geo Filter,ateobreaking,Тигран Кеосаян 160 дней в коме — Ateo Breaking,-,Hayır,55,1,56
2025-05-31 14:02,Geo Filter,ateobreaking,"**Оппозиционный электорат обозначил фаворитов на выборах в Госдуму-2026**

По опросу Надеждина (10 т",-,Hayır,150,1,151
2025-05-31 14:07,Geo Filter,ww3media,"🚨Paris'te Yahudilere ait İki sinagog, bir koşer restoran ve bir Holokost anıtına saldırı düzenlendi.",-,Hayır,70,1,71
2025-05-31 14:07,Geo Filter,ateobreaking,Тигран Кеосаян 160 дней в коме — Ateo Breaking,-,Hayır,55,1,56
2025-05-31 14:07,Geo Filter,ateobreaking,"**Оппозиционный электорат обозначил фаворитов на выборах в Госдуму-2026**

По опросу Надеждина (10 т",-,Hayır,150,1,151
2025-05-31 14:12,Geo Filter,ww3media,"🚨Paris'te Yahudilere ait İki sinagog, bir koşer restoran ve bir Holokost anıtına saldırı düzenlendi.",-,Hayır,70,1,71
2025-05-31 14:12,Geo Filter,ateobreaking,Тигран Кеосаян 160 дней в коме — Ateo Breaking,-,Hayır,55,1,56
2025-05-31 14:12,Geo Filter,ateobreaking,"**Оппозиционный электорат обозначил фаворитов на выборах в Госдуму-2026**

По опросу Надеждина (10 т",-,Hayır,150,1,151
2025-05-31 14:18,Geo Filter,ww3media,"🚨Paris'te Yahudilere ait İki sinagog, bir koşer restoran ve bir Holokost anıtına saldırı düzenlendi.",-,Hayır,70,1,71
2025-05-31 14:18,Geo Filter,ateobreaking,"Аргентина перекрыла лазейки мигрантам: ужесточены законы, а роды и вузы стали платными",-,Hayır,67,1,68
2025-05-31 14:18,Geo Filter,ateobreaking,Тигран Кеосаян 160 дней в коме — Ateo Breaking,-,Hayır,55,1,56
2025-05-31 14:18,Geo Filter,ateobreaking,"**Оппозиционный электорат обозначил фаворитов на выборах в Госдуму-2026**

По опросу Надеждина (10 т",-,Hayır,150,1,151
2025-05-31 14:23,Geo Filter,ww3media,"🚨Paris'te Yahudilere ait İki sinagog, bir koşer restoran ve bir Holokost anıtına saldırı düzenlendi.",-,Hayır,70,1,71
2025-05-31 14:23,Geo Filter,ateobreaking,"Аргентина перекрыла лазейки мигрантам: ужесточены законы, а роды и вузы стали платными",-,Hayır,67,1,68
2025-05-31 14:23,Geo Filter,ateobreaking,Тигран Кеосаян 160 дней в коме — Ateo Breaking,-,Hayır,55,1,56
2025-05-31 14:23,Geo Filter,ateobreaking,"**Оппозиционный электорат обозначил фаворитов на выборах в Госдуму-2026**

По опросу Надеждина (10 т",-,Hayır,150,1,151
2025-05-31 14:28,Geo Filter,ww3media,"🚨Paris'te Yahudilere ait İki sinagog, bir koşer restoran ve bir Holokost anıtına saldırı düzenlendi.",-,Hayır,70,1,71
2025-05-31 14:28,Geo Filter,ateobreaking,"Аргентина перекрыла лазейки мигрантам: ужесточены законы, а роды и вузы стали платными",-,Hayır,67,1,68
2025-05-31 14:28,Geo Filter,ateobreaking,Тигран Кеосаян 160 дней в коме — Ateo Breaking,-,Hayır,55,1,56
2025-05-31 14:28,Geo Filter,ateobreaking,"**Оппозиционный электорат обозначил фаворитов на выборах в Госдуму-2026**

По опросу Надеждина (10 т",-,Hayır,150,1,151
2025-05-31 14:33,Geo Filter,ww3media,"🚨Paris'te Yahudilere ait İki sinagog, bir koşer restoran ve bir Holokost anıtına saldırı düzenlendi.",-,Hayır,70,1,71
2025-05-31 14:33,Geo Filter,ateobreaking,"Аргентина перекрыла лазейки мигрантам: ужесточены законы, а роды и вузы стали платными",-,Hayır,67,1,68
2025-05-31 14:33,Geo Filter,ateobreaking,Тигран Кеосаян 160 дней в коме — Ateo Breaking,-,Hayır,55,1,56
2025-05-31 14:33,Geo Filter,ateobreaking,"**Оппозиционный электорат обозначил фаворитов на выборах в Госдуму-2026**

По опросу Надеждина (10 т",-,Hayır,150,1,151
2025-05-31 14:37,Geo Filter,ww3media,"🚨Paris'te Yahudilere ait İki sinagog, bir koşer restoran ve bir Holokost anıtına saldırı düzenlendi.",-,Hayır,70,1,71
