Tarih,Aşama,Kanal,Özet,Telegram’a Gönderildi mi?,Prompt Tokens,Completion Tokens,Toplam Tokens
2025-06-01 09:34,Translate & Filter,ateobreaking,"На участке Унеча - Жеча в Брянской области обнаружено повреждение пути, пострадавших нет, сообщила М",Hayır,162,2,164
2025-06-01 09:34,Translate & Filter,ateobreaking,"Машинист локомотива погиб в ЧП с поездом в Брянской области, 9 работников поездной бригады госпитали",Hayır,156,2,158
2025-06-01 09:34,Final,ateobreaking,Путин провел телефонные разговоры с  главой РЖД Белозеровым и губернатором Богомазом и получил докла,Evet,161,44,205
2025-06-01 09:40,Translate & Filter,conflict_tr,"🔴 Çin savaş robotu köpek CRD30, geleneksel ekipmanların başarısız olduğu ve insanların dayanamadığı ",Hayır,146,2,148
2025-06-01 09:40,Translate & Filter,ww3media,🚨Bingöl’de 4.4 büyüklüğünde bir deprem oldu.,Hayır,128,2,130
2025-06-01 09:40,Translate & Filter,ateobreaking,"На участке Унеча - Жеча в Брянской области обнаружено повреждение пути, пострадавших нет, сообщила М",Hayır,162,2,164
2025-06-01 09:40,Translate & Filter,ateobreaking,"Машинист локомотива погиб в ЧП с поездом в Брянской области, 9 работников поездной бригады госпитали",Hayır,156,2,158
2025-06-01 09:45,Final,conflict_tr,"🔴 Çin savaş robotu köpek CRD30, geleneksel ekipmanların başarısız olduğu ve insanların dayanamadığı ",Evet,146,37,183
2025-06-01 09:46,Translate & Filter,ww3media,🚨Bingöl’de 4.4 büyüklüğünde bir deprem oldu.,Hayır,128,2,130
2025-06-01 09:46,Final,ateobreaking,"**РФ сегодня нанесла ракетный удар по одному из учебных подразделений Сухопутных войск ВСУ, есть пог",Evet,202,56,258
2025-06-01 09:46,Final,ateobreaking,"**Под оккупированным Мелитополем подорвали российский военный поезд, — ГУР.**

«Ночью 31 мая 2025 го",Evet,223,66,289
2025-06-01 09:46,Translate & Filter,ateobreaking,"На участке Унеча - Жеча в Брянской области обнаружено повреждение пути, пострадавших нет, сообщила М",Hayır,162,2,164
2025-06-01 09:51,Translate & Filter,ww3media,🚨Bingöl’de 4.4 büyüklüğünde bir deprem oldu.,Hayır,128,2,130
2025-06-01 09:52,Translate & Filter,ateobreaking,"На участке Унеча - Жеча в Брянской области обнаружено повреждение пути, пострадавших нет, сообщила М",Hayır,162,2,164
2025-06-01 09:57,Translate & Filter,ww3media,🚨Bingöl’de 4.4 büyüklüğünde bir deprem oldu.,Hayır,128,2,130
2025-06-01 09:57,Translate & Filter,ateobreaking,"На участке Унеча - Жеча в Брянской области обнаружено повреждение пути, пострадавших нет, сообщила М",Hayır,162,2,164
2025-06-01 10:02,Translate & Filter,ww3media,"🇹🇷Türk Hava Kuvvetleri, tüm şanıyla, kudretiyle 114 yaşında!",Hayır,134,2,136
2025-06-01 10:02,Translate & Filter,ww3media,🚨Bingöl’de 4.4 büyüklüğünde bir deprem oldu.,Hayır,128,2,130
2025-06-01 10:02,Final,ateobreaking,"**Moody's оставил Украине преддефолтный рейтинг**

Рейтинговое агентство подтвердило рейтинг Украины",Evet,150,29,179
2025-06-01 10:07,Translate & Filter,ww3media,🚨Bingöl’de 3.6 büyüklüğünde bir deprem daha oldu.,Hayır,129,2,131
2025-06-01 10:07,Translate & Filter,ww3media,"🇹🇷Türk Hava Kuvvetleri, tüm şanıyla, kudretiyle 114 yaşında!",Hayır,134,2,136
2025-06-01 10:07,Translate & Filter,ww3media,🚨Bingöl’de 4.4 büyüklüğünde bir deprem oldu.,Hayır,128,2,130
2025-06-01 10:12,Translate & Filter,ww3media,"🔴WhatsApp, 1 Haziran itibarıyla iOS 15.1 ve altı ile Android 5.0 ve altı sürümlerde çalışmayacak.",Hayır,146,2,148
2025-06-01 10:12,Translate & Filter,ww3media,🚨Bingöl’de 3.6 büyüklüğünde bir deprem daha oldu.,Hayır,129,2,131
2025-06-01 10:12,Translate & Filter,ww3media,"🇹🇷Türk Hava Kuvvetleri, tüm şanıyla, kudretiyle 114 yaşında!",Hayır,134,2,136
2025-06-01 10:12,Translate & Filter,ww3media,🚨Bingöl’de 4.4 büyüklüğünde bir deprem oldu.,Hayır,128,2,130
2025-06-01 10:17,Translate & Filter,ww3media,"🔴WhatsApp, 1 Haziran itibarıyla iOS 15.1 ve altı ile Android 5.0 ve altı sürümlerde çalışmayacak.",Hayır,146,2,148
2025-06-01 10:17,Translate & Filter,ww3media,🚨Bingöl’de 3.6 büyüklüğünde bir deprem daha oldu.,Hayır,129,2,131
2025-06-01 10:17,Translate & Filter,ww3media,"🇹🇷Türk Hava Kuvvetleri, tüm şanıyla, kudretiyle 114 yaşında!",Hayır,134,2,136
2025-06-01 10:17,Translate & Filter,ww3media,🚨Bingöl’de 4.4 büyüklüğünde bir deprem oldu.,Hayır,128,2,130
2025-06-01 10:23,Translate & Filter,ww3media,"🔴WhatsApp, 1 Haziran itibarıyla iOS 15.1 ve altı ile Android 5.0 ve altı sürümlerde çalışmayacak.",Hayır,146,2,148
2025-06-01 10:23,Translate & Filter,ww3media,🚨Bingöl’de 3.6 büyüklüğünde bir deprem daha oldu.,Hayır,129,2,131
2025-06-01 10:23,Translate & Filter,ww3media,"🇹🇷Türk Hava Kuvvetleri, tüm şanıyla, kudretiyle 114 yaşında!",Hayır,134,2,136
2025-06-01 10:23,Translate & Filter,ww3media,🚨Bingöl’de 4.4 büyüklüğünde bir deprem oldu.,Hayır,128,2,130
2025-06-01 10:28,Translate & Filter,ww3media,"🔴WhatsApp, 1 Haziran itibarıyla iOS 15.1 ve altı ile Android 5.0 ve altı sürümlerde çalışmayacak.",Hayır,146,2,148
2025-06-01 10:28,Translate & Filter,ww3media,🚨Bingöl’de 3.6 büyüklüğünde bir deprem daha oldu.,Hayır,129,2,131
2025-06-01 10:28,Translate & Filter,ww3media,"🇹🇷Türk Hava Kuvvetleri, tüm şanıyla, kudretiyle 114 yaşında!",Hayır,134,2,136
2025-06-01 10:28,Translate & Filter,ww3media,🚨Bingöl’de 4.4 büyüklüğünde bir deprem oldu.,Hayır,128,2,130
2025-06-01 10:28,Final,ateobreaking,"Кремль внимательно отслеживает любые заявления Трампа, реагирует на них спокойно, заявил Песков Зару",Evet,135,27,162
2025-06-01 10:33,Translate & Filter,ww3media,"🔴WhatsApp, 1 Haziran itibarıyla iOS 15.1 ve altı ile Android 5.0 ve altı sürümlerde çalışmayacak.",Hayır,146,2,148
2025-06-01 10:33,Translate & Filter,ww3media,🚨Bingöl’de 3.6 büyüklüğünde bir deprem daha oldu.,Hayır,129,2,131
2025-06-01 10:33,Translate & Filter,ww3media,"🇹🇷Türk Hava Kuvvetleri, tüm şanıyla, kudretiyle 114 yaşında!",Hayır,134,2,136
2025-06-01 10:33,Translate & Filter,ww3media,🚨Bingöl’de 4.4 büyüklüğünde bir deprem oldu.,Hayır,128,2,130
2025-06-01 10:38,Translate & Filter,ww3media,"🔴Yeni Zelanda Milletvekili Laura McClure, yapay zekânın tehlikesine dikkat çekmek için kendisinin ya",Hayır,157,2,159
2025-06-01 10:38,Translate & Filter,ww3media,"🔴WhatsApp, 1 Haziran itibarıyla iOS 15.1 ve altı ile Android 5.0 ve altı sürümlerde çalışmayacak.",Hayır,146,2,148
2025-06-01 10:38,Translate & Filter,ww3media,🚨Bingöl’de 3.6 büyüklüğünde bir deprem daha oldu.,Hayır,129,2,131
2025-06-01 10:38,Translate & Filter,ww3media,"🇹🇷Türk Hava Kuvvetleri, tüm şanıyla, kudretiyle 114 yaşında!",Hayır,134,2,136
2025-06-01 10:43,Final,ww3media,"🔴Almanya’da yaşayan bir milyondan fazla Müslüman, radikalleşmeye zemin hazırlayan bir duygusal ruh h",Evet,146,35,181
2025-06-01 10:44,Translate & Filter,ww3media,"🔴Yeni Zelanda Milletvekili Laura McClure, yapay zekânın tehlikesine dikkat çekmek için kendisinin ya",Hayır,157,2,159
2025-06-01 10:44,Translate & Filter,ww3media,"🔴WhatsApp, 1 Haziran itibarıyla iOS 15.1 ve altı ile Android 5.0 ve altı sürümlerde çalışmayacak.",Hayır,146,2,148
2025-06-01 10:44,Translate & Filter,ww3media,🚨Bingöl’de 3.6 büyüklüğünde bir deprem daha oldu.,Hayır,129,2,131
2025-06-01 10:44,Final,ateobreaking,**В районе Оленегорска (Мурманская область) местные жители заявляют о звуках взрывов и крупном пожар,Evet,212,58,270
2025-06-01 10:50,Final,ww3media,"🔴Çin, tarım için ürettiği insansız hava araçlarını bombardıman uçaklarına dönüştürmeye başladı.",Evet,139,19,158
2025-06-01 10:50,Translate & Filter,ww3media,"🔴Yeni Zelanda Milletvekili Laura McClure, yapay zekânın tehlikesine dikkat çekmek için kendisinin ya",Hayır,157,2,159
2025-06-01 10:50,Translate & Filter,ww3media,"🔴WhatsApp, 1 Haziran itibarıyla iOS 15.1 ve altı ile Android 5.0 ve altı sürümlerde çalışmayacak.",Hayır,146,2,148
2025-06-01 10:50,Translate & Filter,ateobreaking,"❗️**Жители Иркутской области сообщают об атаке дронов **

В частности, очевидцы публикуют кадры, как",Hayır,182,2,184
2025-06-01 10:56,Final,ww3media,🚨Rus stratejik bombardıman uçaklarının konuşlu olduğu Olenya Hava Üssü’nde patlamaların yaşandığı ak,Evet,140,27,167
2025-06-01 10:57,Translate & Filter,ww3media,"🔴Yeni Zelanda Milletvekili Laura McClure, yapay zekânın tehlikesine dikkat çekmek için kendisinin ya",Hayır,157,2,159
2025-06-01 10:57,Final,ateobreaking,"❗️**Жители Иркутской области сообщают об атаке дронов **

В частности, очевидцы публикуют кадры, как",Evet,182,62,244
2025-06-01 11:02,Translate & Filter,ww3media,"🔴Yeni Zelanda Milletvekili Laura McClure, yapay zekânın tehlikesine dikkat çekmek için kendisinin ya",Hayır,157,2,159
2025-06-01 11:02,Final,ateobreaking,"29 лет назад, Украина завершила процесс отказа от ядерного вооружения, передав последний ядерный бое",Evet,147,46,193
2025-06-01 11:18,Final,ww3media,🚨Rusya’ya ait Tu-95 stratejik bombardıman uçaklarının vurulduğu aktarılıyor.,Evet,132,25,157
2025-06-01 11:33,Final,conflict_tr,"🔴 İngiltere Savunma Bakanlığı: 

▪️Yardım dağıtım merkezindeki Filistinlilerin hedef alınması kabul ",Evet,155,35,190
2025-06-01 11:34,Final,conflict_tr,"🔴 Ukrayna İstihbaratı, Rusya’nın Olenya ve Belaya hava üslerini çok sayıda FPV drone ile vurdu. 

▪️",Evet,186,51,237
2025-06-01 11:35,Final,conflict_tr,🔴 BAE'deki Hamriya Limanı’nda bulunan petrokimya tesisinde büyük bir yangın çıktı.,Evet,135,36,171
2025-06-01 11:35,Final,conflict_tr,"🔴 ABD Başkanı Trump'ın Özel Temsilcisi Keith Kellogg: 

""Artık Rusya ile savaş halindeyiz.""",Evet,138,32,170
2025-06-01 11:36,Final,ateobreaking,Путин на следующей неделе проведет совещание с членами правительства и заседание Совбеза РФ,Evet,132,33,165
2025-06-01 11:36,Final,ateobreaking,**❗️****Прямо сейчас под ударом ещ**е третий аэродром «Дягилево» в Рязани,Evet,140,26,166
2025-06-01 11:36,Translate & Filter,ateobreaking,Видео первой атаки дронов на Сибирь опубликованное губернатором Иркутской области,Hayır,129,2,131
2025-06-01 11:41,Final,conflict_tr,"🚨 Ukrayna Ordusu, Rusya'nın Ryazan hava üssünü de FPV drone'lar ile vurdu. 

▪️Hava üssünde çok sayı",Evet,156,40,196
2025-06-01 11:42,Final,ateobreaking,"**Кадры операции СБУ против российских авиабаз публикуют украинские источники
**
Как утверждается, у",Evet,158,29,187
2025-06-01 11:43,Translate & Filter,ateobreaking,Видео первой атаки дронов на Сибирь опубликованное губернатором Иркутской области,Hayır,129,2,131
2025-06-01 11:48,Final,conflict_tr,"🚨 Ukrayna Ordusu; Rusya'ya ait Belaya, Olenya, Ivanovo ve Dyagilevo hava üslerini vurdu.",Evet,140,37,177
2025-06-01 11:48,Translate & Filter,ateobreaking,Видео первой атаки дронов на Сибирь опубликованное губернатором Иркутской области,Hayır,129,2,131
2025-06-01 11:53,Final,conflict_tr,"🚨 Rusya'nın Belaya hava üssünden dumanlar yükseliyor. 

▪️Rus uçakları alevler içinde.",Evet,139,26,165
2025-06-01 11:54,Final,ateobreaking,"СБУ сообщает, что были атакованы **четыре** аэродрома — помимо Оленьги, Дягилево и Белая это ещё и а",Evet,148,38,186
2025-06-01 11:59,Final,ww3media,"🚨Polonya ordusu, Kaliningrad hattına mevziler kazmaya başladı.",Evet,128,27,155
2025-06-01 11:59,Translate & Filter,ateobreaking,В Саратове глушат телефонную связь — источник в Telegram-канале,Hayır,126,2,128
2025-06-01 12:05,Final,ateobreaking,⚡Читатель Ateo Breaking сообщает о сильном взрыве в Североморске. В этом городе обслуживаются подвод,Evet,146,33,179
2025-06-01 12:06,Translate & Filter,ateobreaking,В Саратове глушат телефонную связь — источник в Telegram-канале,Hayır,126,2,128
2025-06-01 12:11,Final,conflict_tr,"🔴 Ukrayna Ordusu, Rusya'nın Moğolistan sınırındaki Irkutsk bölgesinde askeri hedefleri vurdu.",Evet,139,33,172
2025-06-01 12:12,Final,ww3media,🚨Ukrayna’nın FPV dron sürüsü ile düzenlediği saldırıda Rus hava kuvvetlerine ait 4 Tu-95 stratejik b,Evet,150,30,180
2025-06-01 12:13,Translate & Filter,ateobreaking,Комментарий солдата армии России с места события — Ateo Breaking,Hayır,123,2,125
2025-06-01 12:13,Translate & Filter,ateobreaking,В Саратове глушат телефонную связь — источник в Telegram-канале,Hayır,126,2,128
2025-06-01 12:18,Final,conflict_tr,"🔴 Kremlin, Ukrayna’nın hava üslerine yönelik yoğun saldırıları nedeniyle acil olarak toplanacak.",Evet,131,27,158
2025-06-01 12:19,Final,conflict_tr,"🚨 Rusya'nın Severomorsk limanında patlama sesleri duyuluyor. 

▪️Liman, Rus Kuzey Filosu'nun ana lim",Evet,155,34,189
2025-06-01 12:19,Final,ww3media,🚨Rusya’nın Severomorsk kentindeki nükleer denizaltı üssünde şiddetli bir patlama meydana geldi.,Evet,139,27,166
2025-06-01 12:20,Final,ww3media,"🚨Ukrayna istihbaratı, Rus stratejik bombardıman uçaklarını vurmak için fiberoptik FPV İHA’lar kullan",Evet,164,43,207
2025-06-01 12:20,Final,ateobreaking,Российская делегация вылетела в Стамбул для переговоров,Evet,125,24,149
2025-06-01 12:21,Final,ateobreaking,"Украинскую делегацию на переговорах в Стамбуле вновь возглавит министр обороны Умеров, сообщил Зелен",Evet,138,30,168
2025-06-01 12:21,Translate & Filter,ateobreaking,"По пабликам распространяется информация о взрывах в Североморске. 

Иногородние журналисты путают Ол",Hayır,154,2,156
2025-06-01 12:21,Translate & Filter,ateobreaking,Комментарий солдата армии России с места события — Ateo Breaking,Hayır,123,2,125
2025-06-01 12:27,Final,ww3media,"🚨Rusya’nın stratejik üssünü vuran FPV dronların, üssün yakınına konuşlanan kamyonlardan fırlatıldığı",Evet,149,34,183
2025-06-01 12:27,Translate & Filter,ateobreaking,"По пабликам распространяется информация о взрывах в Североморске. 

Иногородние журналисты путают Ол",Hayır,154,2,156
2025-06-01 12:32,Final,conflict_tr,🔴 Ukrayna'ya ait FPV kamikaze İHA'lar ile vurulan Belaya hava üssünün Ukrayna sınırına olan uzaklığı,Evet,143,34,177
2025-06-01 12:33,Final,conflict_tr,🔴 Ukrayna'ya ait İHA'ların Rusya'da kamyondan fırlatıldığı görüldü.,Evet,135,22,157
2025-06-01 12:33,Final,conflict_tr,"🚨 Ukrayna Devlet Başkanı Zelenski: 

""Ukrayna heyeti, Rusya ile görüşmeler için yarın İstanbul'da ol",Evet,140,30,170
2025-06-01 12:34,Final,conflict_tr,🔴 Ukrayna'ya ait İHA'ların Rus havaalanları yakınlarına konuşlandırılmış kamyonlardan fırlatıldığı d,Evet,140,28,168
2025-06-01 12:34,Translate & Filter,ateobreaking,"По пабликам распространяется информация о взрывах в Североморске. 

Иногородние журналисты путают Ол",Hayır,154,2,156
2025-06-01 12:40,Final,conflict_tr,"🔴 Ukraine has attacked four Russian long-range air bases in the last two hours. 

▪️A large number o",Evet,143,35,178
2025-06-01 12:40,Translate & Filter,ateobreaking,"Мэр Североморска заявил, что в городе ситуация стабильная, никаких взрывов нет.",Hayır,130,2,132
2025-06-01 12:40,Final,ateobreaking,"Украинские журналисты публикуют фото дронов, которые запускались из фур, и были использованы для ата",Evet,141,24,165
2025-06-01 12:45,Translate & Filter,ateobreaking,"Мэр Североморска заявил, что в городе ситуация стабильная, никаких взрывов нет.",Hayır,130,2,132
2025-06-01 12:51,Final,conflict_tr,🔴 Ukrayna Ordusu'nun hedef aldığı Rusya'nın Belaya hava üssünden dumanlar yükseliyor.,Evet,135,32,167
2025-06-01 12:51,Final,ww3media,🚨Rusya’nın Belaya hava üssü Ukrayna tarafından vuruluyor.,Evet,127,27,154
2025-06-01 12:51,Final,ateobreaking,"Служба безопасности Украины длительное время готовила специальную операцию «Паутина», в результате к",Evet,261,47,308
2025-06-01 12:52,Translate & Filter,ateobreaking,"Мэр Североморска заявил, что в городе ситуация стабильная, никаких взрывов нет.",Hayır,130,2,132
2025-06-01 12:57,Final,conflict_tr,"🔴 Ukrayna, Rusya'ya yönelik İHA operasyonuna ait görüntüleri yayınladı. 

▪️Ukrayna bu operasyona 1,",Evet,151,35,186
2025-06-01 12:57,Final,ateobreaking,"❗️Служба безопасности Украины длительное время готовила специальную операцию «Паутина», в результате",Evet,264,55,319
2025-06-01 12:58,Translate & Filter,ateobreaking,"Мэр Североморска заявил, что в городе ситуация стабильная, никаких взрывов нет.",Hayır,130,2,132
2025-06-01 13:03,Translate & Filter,ateobreaking,"Мэр Североморска заявил, что в городе ситуация стабильная, никаких взрывов нет.",Hayır,130,2,132
2025-06-01 13:08,Final,conflict_tr,🔴 Rus hava üslerine saldırı için kullanılan Ukrayna FPV drone'nun fotoğrafı.,Evet,130,31,161
2025-06-01 13:08,Translate & Filter,ateobreaking,"Мэр Североморска заявил, что в городе ситуация стабильная, никаких взрывов нет.",Hayır,130,2,132
2025-06-01 13:14,Final,ww3media,"🔴SBU kaynaklarına göre Ukrayna, Rusya’nın Murmansk ve Irkutsk’taki üslerinde bulunan 40’tan fazla uç",Evet,250,68,318
2025-06-01 13:14,Translate & Filter,ateobreaking,"Мэр Североморска заявил, что в городе ситуация стабильная, никаких взрывов нет.",Hayır,130,2,132
2025-06-01 13:19,Translate & Filter,ateobreaking,"Мэр Североморска заявил, что в городе ситуация стабильная, никаких взрывов нет.",Hayır,130,2,132
2025-06-01 13:25,Final,conflict_tr,"🔴 Ukrayna, Olenya hava üssünde vurulan Rus stratejik bombardıman uçaklarının görüntülerini yayınladı",Evet,137,27,164
2025-06-01 13:26,Translate & Filter,ateobreaking,"Мэр Североморска заявил, что в городе ситуация стабильная, никаких взрывов нет.",Hayır,130,2,132
2025-06-01 13:31,Translate & Filter,conflict_tr,"🔴 Rusya vatandaşları, FPV droneların olduğu kamyonun üzerine çıkarak drone'ların kalkışını engelleme",Hayır,141,2,143
2025-06-01 13:31,Translate & Filter,ateobreaking,"Мэр Североморска заявил, что в городе ситуация стабильная, никаких взрывов нет.",Hayır,130,2,132
2025-06-01 13:36,Final,conflict_tr,🔴 Ukrayna Güvenlik Servisi Başkanı Vasyl Maliuk'un Rus hava üslerine yönelik operasyon esnasında çek,Evet,139,32,171
2025-06-01 13:36,Translate & Filter,conflict_tr,"🔴 Rusya vatandaşları, FPV droneların olduğu kamyonun üzerine çıkarak drone'ların kalkışını engelleme",Hayır,141,2,143
2025-06-01 13:36,Translate & Filter,ateobreaking,"Мэр Североморска заявил, что в городе ситуация стабильная, никаких взрывов нет.",Hayır,130,2,132
2025-06-01 13:41,Translate & Filter,conflict_tr,"🔴 Rusya vatandaşları, FPV droneların olduğu kamyonun üzerine çıkarak drone'ların kalkışını engelleme",Hayır,141,2,143
2025-06-01 13:41,Translate & Filter,ateobreaking,"Пропагандистка Маргарита Симоньян сообщила, что, если бы не «сложная политическая обстановка в Росси",Hayır,153,2,155
2025-06-01 13:41,Translate & Filter,ateobreaking,"Мэр Североморска заявил, что в городе ситуация стабильная, никаких взрывов нет.",Hayır,130,2,132
2025-06-01 13:46,Final,conflict_tr,"🔴 Suudi Arabistan: 

▪️Avrupa'nın savaşı durdurmak için İsrail'e olan tutumu yeterli değil. 

▪️İki ",Evet,165,44,209
2025-06-01 13:47,Translate & Filter,conflict_tr,"🔴 Rusya vatandaşları, FPV droneların olduğu kamyonun üzerine çıkarak drone'ların kalkışını engelleme",Hayır,141,2,143
2025-06-01 13:47,Translate & Filter,ateobreaking,"Пропагандистка Маргарита Симоньян сообщила, что, если бы не «сложная политическая обстановка в Росси",Hayır,153,2,155
2025-06-01 13:47,Translate & Filter,ateobreaking,"Мэр Североморска заявил, что в городе ситуация стабильная, никаких взрывов нет.",Hayır,130,2,132
2025-06-01 13:52,Translate & Filter,conflict_tr,"🔴 Rusya vatandaşları, FPV droneların olduğu kamyonun üzerine çıkarak drone'ların kalkışını engelleme",Hayır,141,2,143
2025-06-01 13:52,Final,ateobreaking,Разговор Трампа и Си Цзиньпина ожидается в ближайшую неделю — Белый дом,Evet,133,27,160
2025-06-01 13:52,Translate & Filter,ateobreaking,"Пропагандистка Маргарита Симоньян сообщила, что, если бы не «сложная политическая обстановка в Росси",Hayır,153,2,155
2025-06-01 13:58,Translate & Filter,conflict_tr,"🔴 Rusya vatandaşları, FPV droneların olduğu kamyonun üzerine çıkarak drone'ların kalkışını engelleme",Hayır,141,2,143
2025-06-01 13:58,Final,ww3media,"🚨Tel Aviv dahil İsrail’in birçok bölgesinde hava saldırı sirenleri çalıyor.

İsrailliler sığınaklara",Evet,145,32,177
2025-06-01 13:58,Translate & Filter,ateobreaking,"Пропагандистка Маргарита Симоньян сообщила, что, если бы не «сложная политическая обстановка в Росси",Hayır,153,2,155
2025-06-01 14:03,Translate & Filter,conflict_tr,"🔴 Rusya vatandaşları, FPV droneların olduğu kamyonun üzerine çıkarak drone'ların kalkışını engelleme",Hayır,141,2,143
2025-06-01 14:03,Translate & Filter,ateobreaking,"Пропагандистка Маргарита Симоньян сообщила, что, если бы не «сложная политическая обстановка в Росси",Hayır,153,2,155
2025-06-01 14:09,Final,conflict_tr,"🔴 Rusya vatandaşları, FPV droneların olduğu kamyonun üzerine çıkarak drone'ların kalkışını engelleme",Evet,141,30,171
2025-06-01 14:09,Translate & Filter,ateobreaking,"Пропагандистка Маргарита Симоньян сообщила, что, если бы не «сложная политическая обстановка в Росси",Hayır,153,2,155
2025-06-01 14:14,Translate & Filter,ateobreaking,"Пропагандистка Маргарита Симоньян сообщила, что, если бы не «сложная политическая обстановка в Росси",Hayır,153,2,155
2025-06-01 14:20,Final,ateobreaking,Опубликовано фото главы СБУ Малюка со спутниковыми снимками военных аэродромов Оленья (Мурманская об,Evet,179,69,248
2025-06-01 14:20,Translate & Filter,ateobreaking,"Пропагандистка Маргарита Симоньян сообщила, что, если бы не «сложная политическая обстановка в Росси",Hayır,153,2,155
2025-06-01 14:26,Final,ww3media,"🔴Rusya’da siviller, askeri üsleri hedef alan İHA’ları durdurmak için kamyonların üzerine çıkarak müd",Evet,145,28,173
2025-06-01 14:26,Translate & Filter,ateobreaking,"Пропагандистка Маргарита Симоньян сообщила, что, если бы не «сложная политическая обстановка в Росси",Hayır,153,2,155
2025-06-01 14:31,Translate & Filter,ateobreaking,"Пропагандистка Маргарита Симоньян сообщила, что, если бы не «сложная политическая обстановка в Росси",Hayır,153,2,155
2025-06-01 14:36,Translate & Filter,ateobreaking,Губернатор Мурманской области Андрей Чибис заявил об усилении мер безопасности в регионе,Hayır,131,2,133
2025-06-01 14:41,Translate & Filter,conflict_tr,🔴 Fransa'da çocukların bulunabileceği tüm açık alanlarda sigara içmek yasaklandı.,Hayır,132,2,134
2025-06-01 14:42,Translate & Filter,ateobreaking,Губернатор Мурманской области Андрей Чибис заявил об усилении мер безопасности в регионе,Hayır,131,2,133
2025-06-01 14:47,Translate & Filter,conflict_tr,🔴 Fransa'da çocukların bulunabileceği tüm açık alanlarda sigara içmek yasaklandı.,Hayır,132,2,134
2025-06-01 14:47,Translate & Filter,ateobreaking,"Между тем, Telegram-канал Министерства обороны России не обновлялся с 13:06, нечастое явление, так к",Hayır,151,2,153
2025-06-01 14:47,Final,ateobreaking,"⚡Украина заранее уведомила администрацию Трампа об атаках на российские авиабазы, — Axios",Evet,133,27,160
2025-06-01 14:47,Translate & Filter,ateobreaking,Губернатор Мурманской области Андрей Чибис заявил об усилении мер безопасности в регионе,Hayır,131,2,133
2025-06-01 14:52,Translate & Filter,conflict_tr,🔴 Fransa'da çocukların bulunabileceği tüm açık alanlarda sigara içmek yasaklandı.,Hayır,132,2,134
